City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,al burayqah,30.4062,19.5739,26.19,77,0,1.79,LY,1690950017
141,corumba,-19.0092,-57.6533,22.34,38,0,1.16,BR,1690950018
142,cill airne,52.05,-9.5167,14.53,98,100,1.11,IE,1690950018
143,tibati,6.4667,12.6333,18.75,98,95,0.89,CM,1690950018
144,afaahiti,-17.75,-149.2833,25.93,77,99,4.49,PF,1690950018
145,leer,53.2316,7.461,15.0,93,14,3.53,DE,1690950018
146,polyarnyy,69.1989,33.4478,16.18,87,66,3.32,RU,1690950018
147,ola,59.5833,151.2833,20.08,61,100,1.12,RU,1690950019
148,siwa oasis,29.2041,25.5195,27.46,37,0,3.3,EG,1690950019
149,carauari,-4.8828,-66.8958,24.07,74,79,0.78,BR,1690950019
150,richmond,37.5538,-77.4603,20.08,88,0,0.0,US,1690949772
151,conceicao da barra,-18.5933,-39.7322,19.0,88,7,1.89,BR,1690950019
152,san antonio de pale,-1.4014,5.6325,21.94,79,100,5.58,GQ,1690950019
153,hobyo,5.3505,48.5268,25.67,79,100,8.39,SO,1690950020
154,koumra,8.9126,17.5539,21.44,96,100,0.45,TD,1690950020
155,tiksi,71.6872,128.8694,9.46,76,100,1.52,RU,1690950020
156,tak,16.5833,98.8333,21.84,94,100,1.99,TH,1690950020
157,ulladulla,-35.35,150.4667,17.21,63,62,5.0,AU,1690950020
158,nouadhibou,20.931,-17.0347,21.99,83,40,6.17,MR,1690950021
159,avarua,-21.2078,-159.775,22.03,73,75,3.6,CK,1690950021
160,tabas,33.5959,56.9244,34.85,15,0,1.58,IR,1690950021
161,karratha,-20.7377,116.8463,26.41,59,6,5.14,AU,1690950021
162,hakui,36.8833,136.7833,37.92,56,99,2.17,JP,1690950021
163,auki,-8.7676,160.7034,27.98,71,100,2.91,SB,1690950021
164,namibe,-15.1961,12.1522,16.75,80,41,0.74,AO,1690950022
165,canto do buriti,-8.11,-42.9444,22.94,57,0,2.59,BR,1690950022
166,kodiak,57.79,-152.4072,18.73,63,0,0.0,US,1690950022
167,santona,43.4439,-3.4576,21.15,82,0,1.14,ES,1690950022
168,lavrio,37.7145,24.0565,29.02,67,0,1.3,GR,1690950022
169,kavieng,-2.5744,150.7967,27.35,81,90,5.64,PG,1690950023
170,betio village,1.358,172.9211,31.02,70,51,1.66,KI,1690950024
171,thulamahashi,-24.7246,31.1994,12.26,64,100,2.76,ZA,1690950024
172,porto murtinho,-21.6989,-57.8825,23.23,39,0,2.47,BR,1690950024
173,papatowai,-46.5619,169.4708,4.99,70,96,10.49,NZ,1690950024
174,chimoio,-19.1164,33.4833,11.02,92,19,2.21,MZ,1690950025
175,bay city,43.5945,-83.8889,19.49,82,0,3.6,US,1690949987
176,oranjemund,-28.55,16.4333,15.42,33,0,7.07,NA,1690950025
177,mahina,-17.5065,-149.489,26.87,57,75,3.09,PF,1690950025
178,west island,-12.1568,96.8225,25.99,73,100,7.72,CC,1690950025
179,yeppoon,-23.1333,150.7333,25.14,69,42,7.17,AU,1690950025
180,klyuchi,52.2667,79.1667,30.11,31,51,1.08,RU,1690950026
181,la cruz,23.9167,-106.9,26.53,79,87,2.32,MX,1690950026
182,langepas,61.2544,75.2124,24.7,65,17,4.34,RU,1690950026
183,broken hill,-31.95,141.4333,17.68,36,0,3.17,AU,1690950026
184,myeik,12.4333,98.6,27.63,86,100,6.75,MM,1690950026
185,san andres,12.5847,-81.7006,29.01,89,40,3.09,CO,1690950027
186,enewetak,11.3474,162.3373,28.26,78,59,4.93,MH,1690950027
187,manaquiri,-3.3167,-60.35,27.27,68,19,0.52,BR,1690950027
188,fiambala,-27.6871,-67.6149,18.03,17,0,0.97,AR,1690950027
189,adler,43.43,39.92,25.1,78,75,1.0,RU,1690950027
190,riverton,40.5219,-111.9391,26.58,52,100,4.63,US,1690950028
191,quepos,9.4236,-84.1652,26.2,86,100,1.23,CR,1690950028
192,san juan de miraflores,-12.1629,-76.9635,20.29,83,37,3.82,PE,1690950028
193,changling,44.2653,124.0005,26.95,83,97,7.12,CN,1690950028
194,beau vallon,-20.4189,57.6953,23.13,88,40,6.69,MU,1690949864
195,juan de herrera,18.874,-71.2383,23.37,93,53,1.44,DO,1690950028
196,ancud,-41.8697,-73.8203,7.8,81,96,7.29,CL,1690950029
